,weekday,hour,violations
0,Friday,1,4627
1,Friday,2,2875
2,Friday,3,1600
3,Friday,4,1499
4,Friday,5,2339
5,Friday,6,5130
6,Friday,7,13033
7,Friday,8,38910
8,Friday,9,38501
9,Friday,10,43429
10,Friday,11,38440
11,Friday,12,39796
12,Friday,13,41258
13,Friday,14,43171
14,Friday,15,51173
15,Friday,16,44962
16,Friday,17,50202
17,Friday,18,46811
18,Friday,19,45424
19,Friday,20,29090
20,Friday,21,23325
21,Friday,22,17372
22,Friday,23,11137
23,Friday,24,7108
24,Monday,1,4138
25,Monday,2,2604
26,Monday,3,1630
27,Monday,4,1589
28,Monday,5,2485
29,Monday,6,5223
30,Monday,7,13148
31,Monday,8,38162
32,Monday,9,34579
33,Monday,10,38640
34,Monday,11,34289
35,Monday,12,36838
36,Monday,13,39268
37,Monday,14,40710
38,Monday,15,50928
39,Monday,16,44821
40,Monday,17,46297
41,Monday,18,40462
42,Monday,19,37729
43,Monday,20,23713
44,Monday,21,17904
45,Monday,22,12713
46,Monday,23,7839
47,Monday,24,5142
48,Saturday,1,5681
49,Saturday,2,3495
50,Saturday,3,2026
51,Saturday,4,1685
52,Saturday,5,2024
53,Saturday,6,3128
54,Saturday,7,5437
55,Saturday,8,9144
56,Saturday,9,11936
57,Saturday,10,15942
58,Saturday,11,20496
59,Saturday,12,24885
60,Saturday,13,27810
61,Saturday,14,29753
62,Saturday,15,30729
63,Saturday,16,31129
64,Saturday,17,31802
65,Saturday,18,29552
66,Saturday,19,26310
67,Saturday,20,22996
68,Saturday,21,20218
69,Saturday,22,16361
70,Saturday,23,12304
71,Saturday,24,8876
72,Sunday,1,6476
73,Sunday,2,4300
74,Sunday,3,2539
75,Sunday,4,2064
76,Sunday,5,2048
77,Sunday,6,3154
78,Sunday,7,4875
79,Sunday,8,7176
80,Sunday,9,9141
81,Sunday,10,12515
82,Sunday,11,16816
83,Sunday,12,22192
84,Sunday,13,25400
85,Sunday,14,28425
86,Sunday,15,28275
87,Sunday,16,27493
88,Sunday,17,26453
89,Sunday,18,23576
90,Sunday,19,19853
91,Sunday,20,17065
92,Sunday,21,13960
93,Sunday,22,10460
94,Sunday,23,7363
95,Sunday,24,5233
96,Thursday,1,4359
97,Thursday,2,2764
98,Thursday,3,1535
99,Thursday,4,1589
100,Thursday,5,2196
101,Thursday,6,4972
102,Thursday,7,12956
103,Thursday,8,37511
104,Thursday,9,36969
105,Thursday,10,41353
106,Thursday,11,37294
107,Thursday,12,39902
108,Thursday,13,43056
109,Thursday,14,43560
110,Thursday,15,53654
111,Thursday,16,46430
112,Thursday,17,47407
113,Thursday,18,41203
114,Thursday,19,40109
115,Thursday,20,25927
116,Thursday,21,19961
117,Thursday,22,14279
118,Thursday,23,8993
119,Thursday,24,5964
120,Tuesday,1,4105
121,Tuesday,2,2566
122,Tuesday,3,1508
123,Tuesday,4,1490
124,Tuesday,5,2168
125,Tuesday,6,5187
126,Tuesday,7,13702
127,Tuesday,8,37482
128,Tuesday,9,35867
129,Tuesday,10,40572
130,Tuesday,11,37738
131,Tuesday,12,40586
132,Tuesday,13,43492
133,Tuesday,14,44404
134,Tuesday,15,54544
135,Tuesday,16,46577
136,Tuesday,17,48307
137,Tuesday,18,42463
138,Tuesday,19,40023
139,Tuesday,20,25382
140,Tuesday,21,19547
141,Tuesday,22,13548
142,Tuesday,23,8306
143,Tuesday,24,5514
144,Wednesday,1,4261
145,Wednesday,2,2585
146,Wednesday,3,1633
147,Wednesday,4,1540
148,Wednesday,5,2199
149,Wednesday,6,4990
150,Wednesday,7,13094
151,Wednesday,8,37356
152,Wednesday,9,36429
153,Wednesday,10,40232
154,Wednesday,11,37673
155,Wednesday,12,39717
156,Wednesday,13,41710
157,Wednesday,14,43841
158,Wednesday,15,54539
159,Wednesday,16,46270
160,Wednesday,17,47476
161,Wednesday,18,41272
162,Wednesday,19,39014
163,Wednesday,20,25002
164,Wednesday,21,18937
165,Wednesday,22,13433
166,Wednesday,23,8213
167,Wednesday,24,5497
