,weekday,month,bus_route_id,violation_type,violations
0,Friday,2019-10,B44+,MOBILE BUS LANE,2
1,Friday,2019-10,M15+,MOBILE BUS LANE,859
2,Friday,2019-11,B44+,MOBILE BUS LANE,518
3,Friday,2019-11,B46+,MOBILE BUS LANE,16
4,Friday,2019-11,M14+,MOBILE BUS LANE,11
5,Friday,2019-11,M15+,MOBILE BUS LANE,1529
6,Friday,2019-12,B44+,MOBILE BUS LANE,273
7,Friday,2019-12,B46+,MOBILE BUS LANE,8
8,Friday,2019-12,M14+,MOBILE BUS LANE,66
9,Friday,2019-12,M15+,MOBILE BUS LANE,1170
10,Friday,2020-01,B44+,MOBILE BUS LANE,351
11,Friday,2020-01,B46+,MOBILE BUS LANE,16
12,Friday,2020-01,M14+,MOBILE BUS LANE,48
13,Friday,2020-01,M15+,MOBILE BUS LANE,1350
14,Friday,2020-02,B44+,MOBILE BUS LANE,147
15,Friday,2020-02,B46+,MOBILE BUS LANE,78
16,Friday,2020-02,M14+,MOBILE BUS LANE,4
17,Friday,2020-02,M15+,MOBILE BUS LANE,875
18,Friday,2020-03,B44+,MOBILE BUS LANE,69
19,Friday,2020-03,B46+,MOBILE BUS LANE,225
20,Friday,2020-03,M14+,MOBILE BUS LANE,4
21,Friday,2020-03,M15+,MOBILE BUS LANE,867
22,Friday,2020-04,B44+,MOBILE BUS LANE,66
23,Friday,2020-04,B46+,MOBILE BUS LANE,169
24,Friday,2020-04,M14+,MOBILE BUS LANE,7
25,Friday,2020-04,M15+,MOBILE BUS LANE,1234
26,Friday,2020-05,B44+,MOBILE BUS LANE,151
27,Friday,2020-05,B46+,MOBILE BUS LANE,559
28,Friday,2020-05,M14+,MOBILE BUS LANE,28
29,Friday,2020-05,M15+,MOBILE BUS LANE,2620
30,Friday,2020-06,B44+,MOBILE BUS LANE,87
31,Friday,2020-06,B46+,MOBILE BUS LANE,551
32,Friday,2020-06,M14+,MOBILE BUS LANE,15
33,Friday,2020-06,M15+,MOBILE BUS LANE,2134
34,Friday,2020-07,B44+,MOBILE BUS LANE,150
35,Friday,2020-07,B46+,MOBILE BUS LANE,580
36,Friday,2020-07,M14+,MOBILE BUS LANE,20
37,Friday,2020-07,M15+,MOBILE BUS LANE,1985
38,Friday,2020-08,B44+,MOBILE BUS LANE,129
