campus_name,total_violations,total_ridership
Baruch College,9622,25388185
Borough of Manhattan Community College,0,2475511
Bronx Community College,0,4625853
Brooklyn College,0,9845406
College of Staten Island,0,4526488
Guttman Community College,567,24439470
Hostos Community College,1229,6843827
Hunter College,5715,27027546
John Jay College of Criminal Justice,0,7420353
Kingsborough Community College,0,5562274
LaGuardia Community College,0,6925461
Lehman College,6547,10329134
Macaulay Honors College,0,13374764
Medgar Evers College,0,4204484
New York City College of Technology,5384,19804342
Queens College,1935,17994008
Queensborough Community College,0,4802881
School of Journalism,1121,10460055
School of Labor and Urban Studies,1325,26326810
School of Law,414,3685998
School of Medicine,12888,11674444
School of Professional Studies,0,7333738
School of Public Health,19576,16463262
The City College of New York,20911,18377102
The Graduate School and University Center,4207,30500583
York College,17001,43416736
