,month,bus_route_id,violation_type,violations
0,2019-10,B44+,MOBILE BUS LANE,233
1,2019-10,B46+,MOBILE BUS LANE,3
2,2019-10,M15+,MOBILE BUS LANE,5160
3,2019-11,B44+,MOBILE BUS LANE,2143
4,2019-11,B46+,MOBILE BUS LANE,58
5,2019-11,M14+,MOBILE BUS LANE,41
6,2019-11,M15+,MOBILE BUS LANE,7040
7,2019-12,B44+,MOBILE BUS LANE,1249
8,2019-12,B46+,MOBILE BUS LANE,57
9,2019-12,M14+,MOBILE BUS LANE,377
10,2019-12,M15+,MOBILE BUS LANE,5972
11,2020-01,B44+,MOBILE BUS LANE,1236
12,2020-01,B46+,MOBILE BUS LANE,72
13,2020-01,M14+,MOBILE BUS LANE,264
14,2020-01,M15+,MOBILE BUS LANE,5044
15,2020-02,B44+,MOBILE BUS LANE,436
16,2020-02,B46+,MOBILE BUS LANE,291
17,2020-02,M14+,MOBILE BUS LANE,40
18,2020-02,M15+,MOBILE BUS LANE,4077
19,2020-03,B44+,MOBILE BUS LANE,394
20,2020-03,B46+,MOBILE BUS LANE,818
21,2020-03,M14+,MOBILE BUS LANE,36
22,2020-03,M15+,MOBILE BUS LANE,4859
23,2020-04,B44+,MOBILE BUS LANE,359
24,2020-04,B46+,MOBILE BUS LANE,1014
25,2020-04,M14+,MOBILE BUS LANE,58
26,2020-04,M15+,MOBILE BUS LANE,7208
27,2020-05,B44+,MOBILE BUS LANE,596
28,2020-05,B46+,MOBILE BUS LANE,1826
29,2020-05,M14+,MOBILE BUS LANE,117
30,2020-05,M15+,MOBILE BUS LANE,10588
31,2020-06,B44+,MOBILE BUS LANE,629
32,2020-06,B46+,MOBILE BUS LANE,1949
33,2020-06,M14+,MOBILE BUS LANE,84
34,2020-06,M15+,MOBILE BUS LANE,10462
35,2020-07,B44+,MOBILE BUS LANE,558
36,2020-07,B46+,MOBILE BUS LANE,1929
37,2020-07,M14+,MOBILE BUS LANE,94
38,2020-07,M15+,MOBILE BUS LANE,8018
39,2020-08,B44+,MOBILE BUS LANE,706
40,2020-08,B46+,MOBILE BUS LANE,1899
41,2020-08,M14+,MOBILE BUS LANE,267
42,2020-08,M15+,MOBILE BUS LANE,8378
43,2020-08,M23+,MOBILE BUS LANE,6
44,2020-08,M34+,MOBILE BUS LANE,24
45,2020-08,M86+,MOBILE BUS LANE,6
46,2020-09,B44+,MOBILE BUS LANE,838
47,2020-09,B46+,MOBILE BUS LANE,1905
48,2020-09,M14+,MOBILE BUS LANE,336
49,2020-09,M15+,MOBILE BUS LANE,8622
50,2020-09,M23+,MOBILE BUS LANE,16
