,bus_route_id,month,weekday,violation_type,violations
0,B25,2022-12,Friday,MOBILE BUS LANE,187
1,B25,2022-12,Monday,MOBILE BUS LANE,160
2,B25,2022-12,Saturday,MOBILE BUS LANE,103
3,B25,2022-12,Sunday,MOBILE BUS LANE,44
4,B25,2022-12,Thursday,MOBILE BUS LANE,108
5,B25,2022-12,Tuesday,MOBILE BUS LANE,131
6,B25,2022-12,Wednesday,MOBILE BUS LANE,53
7,B25,2023-01,Friday,MOBILE BUS LANE,169
8,B25,2023-01,Monday,MOBILE BUS LANE,99
9,B25,2023-01,Saturday,MOBILE BUS LANE,115
10,B25,2023-01,Sunday,MOBILE BUS LANE,39
11,B25,2023-01,Thursday,MOBILE BUS LANE,138
12,B25,2023-01,Tuesday,MOBILE BUS LANE,143
13,B25,2023-01,Wednesday,MOBILE BUS LANE,94
14,B25,2023-02,Friday,MOBILE BUS LANE,84
15,B25,2023-02,Monday,MOBILE BUS LANE,47
16,B25,2023-02,Saturday,MOBILE BUS LANE,45
17,B25,2023-02,Sunday,MOBILE BUS LANE,21
18,B25,2023-02,Thursday,MOBILE BUS LANE,81
19,B25,2023-02,Tuesday,MOBILE BUS LANE,53
20,B25,2023-02,Wednesday,MOBILE BUS LANE,91
21,B25,2023-03,Friday,MOBILE BUS LANE,48
22,B25,2023-03,Monday,MOBILE BUS LANE,70
23,B25,2023-03,Saturday,MOBILE BUS LANE,48
24,B25,2023-03,Sunday,MOBILE BUS LANE,21
25,B25,2023-03,Thursday,MOBILE BUS LANE,94
26,B25,2023-03,Tuesday,MOBILE BUS LANE,32
27,B25,2023-03,Wednesday,MOBILE BUS LANE,55
28,B25,2023-04,Friday,MOBILE BUS LANE,44
29,B25,2023-04,Monday,MOBILE BUS LANE,31
30,B25,2023-04,Saturday,MOBILE BUS LANE,29
31,B25,2023-04,Sunday,MOBILE BUS LANE,27
32,B25,2023-04,Thursday,MOBILE BUS LANE,31
33,B25,2023-04,Tuesday,MOBILE BUS LANE,13
34,B25,2023-04,Wednesday,MOBILE BUS LANE,46
35,B25,2023-05,Friday,MOBILE BUS LANE,38
36,B25,2023-05,Monday,MOBILE BUS LANE,41
37,B25,2023-05,Saturday,MOBILE BUS LANE,35
38,B25,2023-05,Sunday,MOBILE BUS LANE,37
39,B25,2023-05,Thursday,MOBILE BUS LANE,38
40,B25,2023-05,Tuesday,MOBILE BUS LANE,46
41,B25,2023-05,Wednesday,MOBILE BUS LANE,77
42,B25,2023-06,Friday,MOBILE BUS LANE,17
43,B25,2023-06,Monday,MOBILE BUS LANE,39
44,B25,2023-06,Saturday,MOBILE BUS LANE,39
45,B25,2023-06,Sunday,MOBILE BUS LANE,12
46,B25,2023-06,Thursday,MOBILE BUS LANE,23
47,B25,2023-06,Tuesday,MOBILE BUS LANE,7
48,B25,2023-06,Wednesday,MOBILE BUS LANE,57
49,B25,2023-07,Friday,MOBILE BUS LANE,39
50,B25,2023-07,Monday,MOBILE BUS LANE,26
51,B25,2023-07,Saturday,MOBILE BUS LANE,29
52,B25,2023-07,Sunday,MOBILE BUS LANE,19
53,B25,2023-07,Thursday,MOBILE BUS LANE,28
54,B25,2023-07,Tuesday,MOBILE BUS LANE,6
55,B25,2023-07,Wednesday,MOBILE BUS LANE,36
56,B25,2023-08,Friday,MOBILE BUS LANE,85
57,B25,2023-08,Monday,MOBILE BUS LANE,26
58,B25,2023-08,Saturday,MOBILE BUS LANE,35
59,B25,2023-08,Sunday,MOBILE BUS LANE,34
60,B25,2023-08,Thursday,MOBILE BUS LANE,91
61,B25,2023-08,Tuesday,MOBILE BUS LANE,45
62,B25,2023-08,Wednesday,MOBILE BUS LANE,63
63,B25,2023-09,Friday,MOBILE BUS LANE,86
64,B25,2023-09,Monday,MOBILE BUS LANE,25
