campus_name,borough,route_id,stop_count,total_ridership
Borough of Manhattan Community College,Manhattan,M20,8,487571
Borough of Manhattan Community College,Manhattan,M22,5,439653
Borough of Manhattan Community College,Manhattan,M9,1,1193381
Borough of Manhattan Community College,Manhattan,SIM33,1,109157
Borough of Manhattan Community College,Manhattan,SIM7,1,155064
Borough of Manhattan Community College,Manhattan,SIM9,1,90685
Bronx Community College,Bronx,BX3,6,1812001
Bronx Community College,Bronx,BX32,4,620509
Bronx Community College,Bronx,BX40,6,1116518
Bronx Community College,Bronx,BX42,6,1076825
Hostos Community College,Bronx,BX1,4,1869965
Hostos Community College,Bronx,BX19,3,3005714
Hostos Community College,Bronx,BX2,2,1968148
Kingsborough Community College,Brooklyn,B1,4,3617860
Kingsborough Community College,Brooklyn,B49,3,1944414
LaGuardia Community College,Queens,Q32,2,2408804
LaGuardia Community College,Queens,Q39,8,1081709
LaGuardia Community College,Queens,Q60,2,3434948
Queensborough Community College,Queens,Q27,4,4469973
Queensborough Community College,Queens,Q74,4,199312
Queensborough Community College,Queens,Q75,5,133596
Guttman Community College,Manhattan,BM1,1,258265
Guttman Community College,Manhattan,BM2,1,216993
Guttman Community College,Manhattan,BM3,1,187652
Guttman Community College,Manhattan,BM4,1,131756
Guttman Community College,Manhattan,BM5,1,198404
Guttman Community College,Manhattan,BXM2,2,218578
Guttman Community College,Manhattan,BXM3,1,221579
Guttman Community College,Manhattan,BXM4,1,132194
Guttman Community College,Manhattan,M1,1,2573060
Guttman Community College,Manhattan,M2,1,2128389
Guttman Community College,Manhattan,M3,1,2961938
Guttman Community College,Manhattan,M42,2,2524345
Guttman Community College,Manhattan,M5,4,1731771
Guttman Community College,Manhattan,M55,4,575794
Guttman Community College,Manhattan,M7,3,2617369
Guttman Community College,Manhattan,QM1,1,57993
Guttman Community College,Manhattan,QM10,1,47033
Guttman Community College,Manhattan,QM12,1,56738
Guttman Community College,Manhattan,QM15,1,445248
Guttman Community College,Manhattan,QM16,1,110347
Guttman Community College,Manhattan,QM17,1,121072
Guttman Community College,Manhattan,QM18,1,39494
Guttman Community College,Manhattan,QM2,1,260196
Guttman Community College,Manhattan,QM20,1,204400
Guttman Community College,Manhattan,QM24,1,131152
Guttman Community College,Manhattan,QM4,1,120267
Guttman Community College,Manhattan,QM5,1,325376
Guttman Community College,Manhattan,QM6,1,167307
Guttman Community College,Manhattan,SIM10,2,438147
Guttman Community College,Manhattan,SIM1C,2,1114532
Guttman Community College,Manhattan,SIM22,2,189516
Guttman Community College,Manhattan,SIM25,2,200685
Guttman Community College,Manhattan,SIM26,2,224142
Guttman Community College,Manhattan,SIM3,2,182978
Guttman Community College,Manhattan,SIM30,2,163229
Guttman Community College,Manhattan,SIM31,1,143118
Guttman Community College,Manhattan,SIM33C,1,414111
Guttman Community College,Manhattan,SIM3C,2,331816
Guttman Community College,Manhattan,SIM4C,1,483559
Guttman Community College,Manhattan,SIM8,2,388314
Guttman Community College,Manhattan,X27,1,489211
Guttman Community College,Manhattan,X28,1,489047
Guttman Community College,Manhattan,X37,1,225056
Guttman Community College,Manhattan,X38,1,197299
Medgar Evers College,Brooklyn,B43,2,1597726
Medgar Evers College,Brooklyn,B48,4,662344
Medgar Evers College,Brooklyn,B49,6,1944414
New York City College of Technology,Brooklyn,B103,5,2144266
New York City College of Technology,Brooklyn,B25,1,1219507
New York City College of Technology,Brooklyn,B26,5,1726824
New York City College of Technology,Brooklyn,B38,3,3381958
New York City College of Technology,Brooklyn,B41,2,3995947
New York City College of Technology,Brooklyn,B52,3,1899002
New York City College of Technology,Brooklyn,B54,3,1438165
New York City College of Technology,Brooklyn,B57,2,1531083
New York City College of Technology,Brooklyn,B62,2,1544007
New York City College of Technology,Brooklyn,B67,4,923583
College of Staten Island,Staten Island,S44,6,821948
College of Staten Island,Staten Island,S59,6,465841
College of Staten Island,Staten Island,S62,15,551778
College of Staten Island,Staten Island,S89,4,69376
College of Staten Island,Staten Island,S92,15,97930
College of Staten Island,Staten Island,S93,8,651619
College of Staten Island,Staten Island,S94,6,107807
College of Staten Island,Staten Island,SIM32,7,92394
College of Staten Island,Staten Island,SIM33,10,109157
College of Staten Island,Staten Island,SIM33C,10,414111
College of Staten Island,Staten Island,SIM4,6,272654
College of Staten Island,Staten Island,SIM4C,5,483559
College of Staten Island,Staten Island,SIM8,7,388314
