,stop_name,violations,avg_lat,avg_lon
0,2 AV/E 23 ST,53043,40.73588918772865,-73.9823397650957
1,WEBSTER AV/E 180 ST,34387,40.855289183819465,-73.89612219114781
2,W 207 ST/10 AV,32318,40.86588698115602,-73.91984921319388
3,2 AV/E 78 ST,31520,40.76967198359927,-73.95773027182263
4,BROADWAY/ISHAM ST,30036,40.86552708186842,-73.91935467675457
5,1 AV/E 67 ST,29862,40.76826052869597,-73.95567374308281
6,UTICA AV/CHURCH AV,29399,40.650116476639795,-73.93023018527161
7,WEBSTER AV/BEDFORD PARK BLVD,27315,40.86759294845323,-73.88287761241077
8,2 AV/E 125 ST,26846,40.80041448574874,-73.93564799053762
9,WEBSTER AV/E 170 ST,23587,40.835969993767755,-73.90752006439988
10,NOSTRAND AV/NEWKIRK AV,23320,40.63474026079345,-73.94785391159205
11,1 AV/E 57 ST,23270,40.761615185069104,-73.96052464957823
12,WEBSTER AV/E 204 ST,20951,40.871208195312875,-73.87777048412964
13,SUTPHIN BLVD/HILLSIDE AV,20910,40.70540197560975,-73.81237260875179
14,UTICA AV/WINTHROP ST,20630,40.65517021762902,-73.93078962791112
15,E 14 ST/1 AV,20574,40.73159726906921,-73.98309898248728
16,2 AV/E 86 ST,19725,40.775471093690264,-73.95352205551806
17,WEBSTER AV/E 167 ST,19079,40.83159134855076,-73.90992511122177
18,W 125 ST/SAINT NICHOLAS AV,18702,40.809108174045555,-73.9500854461555
19,WEBSTER AV/BEDFORD PK BL,18479,40.86633233010444,-73.88502388489637
20,MADISON ST/CATHERINE ST,18253,40.71172122963184,-73.9992155549475
21,2 AV/E 106 ST,16819,40.78668009310753,-73.94536214550374
22,W 145 ST/ADAM C POWELL BLVD,16580,40.82209222394451,-73.93945690530761
23,E FORDHAM RD/VALENTINE AV,16524,40.862122627027354,-73.89567997343258
24,2 AV/E 115 ST,16308,40.7927564806286,-73.94092822459154
25,SOUTHERN BLVD/ALDUS ST,16177,40.82295105282976,-73.89188416727436
26,W 125 ST/MALCOLM X  BLVD,15973,40.806661132097915,-73.94368326219245
27,SOUTHERN BLVD/WESTCHESTER AV,15879,40.82449664501761,-73.89196645152391
28,BEDFORD AV/LAFAYETTE AV,15674,40.6945829143267,-73.95613038095998
29,E 149 ST/COURTLANDT AV,15525,40.816618669500805,-73.91946294943638
30,2 AV/E 96 ST,15379,40.780055835977116,-73.95018227449435
31,WHITE PLAINS RD/WESTCHESTER AV,15236,40.83260165378052,-73.86276805749542
32,1 AV/E 106 ST,15142,40.79391492408012,-73.93692634046951
33,SOUTHERN BLVD/E 167 ST,15069,40.827255698785585,-73.89195115900192
34,WADSWORTH AV/W 181 ST,14840,40.84860194595687,-73.9349296857143
35,SOUTHERN BLVD/FREEMAN ST,14220,40.82965034915612,-73.89182105485233
36,2 AV/E 13 ST,14137,40.72843386038555,-73.98777273139638
37,2 AV/E 68 ST,13835,40.76270862528008,-73.96283813602987
38,MALCOLM X BL/FULTON ST,13817,40.669543148833085,-73.93105291047985
39,SOUTHERN BLVD/AVENUE SAINT JOHN,13716,40.81257314647128,-73.90276562226596
40,1 AV/E 1 ST,13454,40.72807335424551,-73.98494583240671
41,MAIN ST/ELDER AV,12899,40.7547232439724,-73.82800906279557
42,E 149 ST/MORRIS AV,12585,40.817142695907826,-73.92159727914184
43,W 145 ST/AMSTERDAM AV,12521,40.825624394936504,-73.947975373213
44,1 AV/E 28 ST,12462,40.742284778573556,-73.97457960661819
45,SOUTHERN BLVD/E 149 ST,12457,40.81279576888496,-73.90388716175644
46,E 163 ST/3 AV,12339,40.823529433017264,-73.90738892495341
47,1 AV/MITCHELL PL,12260,40.75639056596338,-73.96430792854973
48,E 14 ST/2 AV,12237,40.73202016370816,-73.984108396993
49,UTICA AV/AV D,12141,40.644557826725425,-73.92961878445351
50,AMSTERDAM AV/W 161 ST,11879,40.82791705135113,-73.94226420700396
51,PEARL ST/BEEKMAN ST,11605,40.71103481240844,-73.99978332365359
52,NOSTRAND AV/AVENUE L,11474,40.62570680137703,-73.9466361002266
