campus_name,year_month,violations
Borough of Manhattan Community College,2025-08,0
Borough of Manhattan Community College,2025-07,0
Borough of Manhattan Community College,2025-06,0
Borough of Manhattan Community College,2025-05,0
Borough of Manhattan Community College,2025-04,0
Borough of Manhattan Community College,2025-03,0
Borough of Manhattan Community College,2025-02,0
Borough of Manhattan Community College,2025-01,0
Bronx Community College,2025-08,0
Bronx Community College,2025-07,0
Bronx Community College,2025-06,0
Bronx Community College,2025-05,0
Bronx Community College,2025-04,0
Bronx Community College,2025-03,0
Bronx Community College,2025-02,0
Bronx Community College,2025-01,0
Hostos Community College,2025-08,58
Hostos Community College,2025-07,148
Hostos Community College,2025-06,183
Hostos Community College,2025-05,185
Hostos Community College,2025-04,162
Hostos Community College,2025-03,186
Hostos Community College,2025-02,143
Hostos Community College,2025-01,164
Kingsborough Community College,2025-08,0
Kingsborough Community College,2025-07,0
Kingsborough Community College,2025-06,0
Kingsborough Community College,2025-05,0
Kingsborough Community College,2025-04,0
Kingsborough Community College,2025-03,0
Kingsborough Community College,2025-02,0
Kingsborough Community College,2025-01,0
LaGuardia Community College,2025-08,0
LaGuardia Community College,2025-07,0
LaGuardia Community College,2025-06,0
LaGuardia Community College,2025-05,0
LaGuardia Community College,2025-04,0
LaGuardia Community College,2025-03,0
LaGuardia Community College,2025-02,0
LaGuardia Community College,2025-01,0
Queensborough Community College,2025-08,0
Queensborough Community College,2025-07,0
Queensborough Community College,2025-06,0
Queensborough Community College,2025-05,0
Queensborough Community College,2025-04,0
Queensborough Community College,2025-03,0
Queensborough Community College,2025-02,0
Queensborough Community College,2025-01,0
Guttman Community College,2025-08,160
Guttman Community College,2025-07,238
Guttman Community College,2025-06,154
Guttman Community College,2025-05,14
Guttman Community College,2025-04,0
Guttman Community College,2025-03,1
Guttman Community College,2025-02,0
Guttman Community College,2025-01,0
Medgar Evers College,2025-08,0
Medgar Evers College,2025-07,0
Medgar Evers College,2025-06,0
Medgar Evers College,2025-05,0
Medgar Evers College,2025-04,0
Medgar Evers College,2025-03,0
Medgar Evers College,2025-02,0
Medgar Evers College,2025-01,0
New York City College of Technology,2025-08,221
New York City College of Technology,2025-07,835
New York City College of Technology,2025-06,617
New York City College of Technology,2025-05,752
New York City College of Technology,2025-04,817
New York City College of Technology,2025-03,814
New York City College of Technology,2025-02,594
New York City College of Technology,2025-01,734
College of Staten Island,2025-08,0
College of Staten Island,2025-07,0
College of Staten Island,2025-06,0
College of Staten Island,2025-05,0
College of Staten Island,2025-04,0
College of Staten Island,2025-03,0
College of Staten Island,2025-02,0
College of Staten Island,2025-01,0
School of Labor and Urban Studies,2025-08,270
School of Labor and Urban Studies,2025-07,565
School of Labor and Urban Studies,2025-06,414
School of Labor and Urban Studies,2025-05,70
School of Labor and Urban Studies,2025-04,0
School of Labor and Urban Studies,2025-03,6
School of Labor and Urban Studies,2025-02,0
School of Labor and Urban Studies,2025-01,0
School of Law,2025-08,8
School of Law,2025-07,62
School of Law,2025-06,63
School of Law,2025-05,39
School of Law,2025-04,40
School of Law,2025-03,32
School of Law,2025-02,98
School of Law,2025-01,72
The Graduate School and University Center,2025-08,367
The Graduate School and University Center,2025-07,956
The Graduate School and University Center,2025-06,792
The Graduate School and University Center,2025-05,654
The Graduate School and University Center,2025-04,376
The Graduate School and University Center,2025-03,459
The Graduate School and University Center,2025-02,266
The Graduate School and University Center,2025-01,337
School of Professional Studies,2025-08,0
School of Professional Studies,2025-07,0
School of Professional Studies,2025-06,0
School of Professional Studies,2025-05,0
School of Professional Studies,2025-04,0
School of Professional Studies,2025-03,0
School of Professional Studies,2025-02,0
School of Professional Studies,2025-01,0
School of Public Health,2025-08,699
School of Public Health,2025-07,2429
School of Public Health,2025-06,2490
School of Public Health,2025-05,2702
School of Public Health,2025-04,3134
School of Public Health,2025-03,3234
School of Public Health,2025-02,2166
School of Public Health,2025-01,2722
School of Journalism,2025-08,358
School of Journalism,2025-07,466
School of Journalism,2025-06,282
School of Journalism,2025-05,15
School of Journalism,2025-04,0
School of Journalism,2025-03,0
School of Journalism,2025-02,0
School of Journalism,2025-01,0
Macaulay Honors College,2025-08,0
Macaulay Honors College,2025-07,0
Macaulay Honors College,2025-06,0
Macaulay Honors College,2025-05,0
Macaulay Honors College,2025-04,0
Macaulay Honors College,2025-03,0
Macaulay Honors College,2025-02,0
Macaulay Honors College,2025-01,0
Baruch College,2025-08,272
Baruch College,2025-07,1327
Baruch College,2025-06,1442
Baruch College,2025-05,1729
Baruch College,2025-04,1703
Baruch College,2025-03,1121
Baruch College,2025-02,971
Baruch College,2025-01,1057
Brooklyn College,2025-08,0
Brooklyn College,2025-07,0
Brooklyn College,2025-06,0
Brooklyn College,2025-05,0
Brooklyn College,2025-04,0
Brooklyn College,2025-03,0
Brooklyn College,2025-02,0
Brooklyn College,2025-01,0
The City College of New York,2025-08,630
The City College of New York,2025-07,3726
The City College of New York,2025-06,3670
The City College of New York,2025-05,3095
The City College of New York,2025-04,2714
The City College of New York,2025-03,2680
The City College of New York,2025-02,2138
The City College of New York,2025-01,2258
School of Medicine,2025-08,329
School of Medicine,2025-07,2133
School of Medicine,2025-06,1989
School of Medicine,2025-05,1887
School of Medicine,2025-04,1841
School of Medicine,2025-03,1851
School of Medicine,2025-02,1377
School of Medicine,2025-01,1481
Hunter College,2025-08,234
Hunter College,2025-07,798
Hunter College,2025-06,832
Hunter College,2025-05,1032
Hunter College,2025-04,817
Hunter College,2025-03,757
Hunter College,2025-02,586
Hunter College,2025-01,659
John Jay College of Criminal Justice,2025-08,0
John Jay College of Criminal Justice,2025-07,0
John Jay College of Criminal Justice,2025-06,0
John Jay College of Criminal Justice,2025-05,0
John Jay College of Criminal Justice,2025-04,0
John Jay College of Criminal Justice,2025-03,0
John Jay College of Criminal Justice,2025-02,0
John Jay College of Criminal Justice,2025-01,0
Lehman College,2025-08,480
Lehman College,2025-07,1047
Lehman College,2025-06,1034
Lehman College,2025-05,861
Lehman College,2025-04,919
Lehman College,2025-03,915
Lehman College,2025-02,567
Lehman College,2025-01,724
Queens College,2025-08,9
Queens College,2025-07,133
Queens College,2025-06,189
Queens College,2025-05,293
Queens College,2025-04,318
Queens College,2025-03,355
Queens College,2025-02,370
Queens College,2025-01,268
York College,2025-08,1105
York College,2025-07,3157
York College,2025-06,1921
York College,2025-05,2291
York College,2025-04,2157
York College,2025-03,2239
York College,2025-02,1859
York College,2025-01,2272
